"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202005","25","7,000","5","1978","대전로 1247"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","63.075","202005","11","8,700","3","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","70.425","202005","26","9,000","5","1985","대화로 19"
"대전광역시 대덕구 대화동","40-67","0040","0067","대화","49","202005","12","3,400","3","1979","대화로 53"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","202005","4","7,500","2","2001","대화1길 77"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","202005","3","7,750","5","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","54.565","202005","6","6,000","3","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","64.68","202005","15","9,800","1","1987","대화10길 72"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","202005","18","11,100","4","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","202005","19","11,750","2","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","62.52","202005","19","10,000","2","1987","대화10길 72"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","202005","19","10,200","3","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","202005","20","8,700","5","1987","대화11길 11"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202005","8","8,000","2","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202005","12","6,300","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202005","12","7,400","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202005","19","7,500","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202005","22","8,200","2","1990","동심1길 103"
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","55.34","202005","9","4,700","4","1983","대전로 1255"
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","202005","21","6,000","3","1983","대전로 1255"
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","202005","23","4,100","5","1983","대전로 1255"
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","60.12","202005","11","7,700","3","1986","동심5길 16"
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","63.36","202005","12","7,200","4","1986","동심5길 16"
"대전광역시 대덕구 덕암동","62-18","0062","0018","금성백조","44.02","202005","1","3,950","5","1988","덕암로173번길 8"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","202005","6","5,850","12","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","202005","12","5,400","12","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","60","202005","14","14,100","9","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","60","202005","30","13,500","16","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","4-1","0004","0001","원창주택(C,D동)","59.68","202005","14","6,500","4","1991","덕암북로10번길 31"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","202005","2","8,000","10","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","202005","4","8,400","14","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","202005","9","8,000","9","1993","대덕대로1470번길 55"
